model_name,k_params,bic,cv_risk,xpe,c_lambda
page_2p,2,-410.53756459104477,0.004145299522906608,1.5685919022898327,-410.6428284407058
weibull_2p,2,-410.5375645910898,0.00414530080981441,1.568591415320792,-410.64282836815926
two_term_3p,3,-409.70118892213185,0.004011107079155564,1.6210694792935074,-409.8141474955593
midilli_4p,4,-405.927693557031,0.004002441871883909,1.6245790625652865,-406.0411578140714
lewis_1p,1,-373.0871133098945,0.006502283264197211,1.0,-373.0871133098945
arrhenius_lewis_2p,2,-105.68068562234637,0.20462349844612002,0.03177681602345073,-104.8742120246959
arrhenius_page_3p,3,-101.40401950333032,0.20462349844612002,0.03177681602345073,-100.59754590567984
