model_name,side,k_params,sse,aic,aicc,bic,cv_risk,xpe,c_lambda
lewis_1p,compact,1,0.3811746979421492,-375.36377942891056,-375.3066365717677,-373.0871133098945,0.006502283264197755,1.0,-373.0871133098945
page_2p,compact,2,0.21351658210554503,-415.0908968290771,-414.91698378559886,-410.537564591045,0.004145299522380658,1.5685919024889845,-410.64282844073574
weibull_2p,compact,2,0.21351658210541224,-415.0908968291219,-414.91698378564365,-410.5375645910898,0.004145300808815144,1.5685914156990477,-410.64282836821565
two_term_3p,flexible,3,0.20355427680108523,-416.5311872791781,-416.1782461027075,-409.7011889221299,0.004011107079212695,1.6210694792705536,-409.8141474955541
midilli_4p,flexible,4,0.20213670038404363,-415.03435803309526,-414.43734310772214,-405.92769355703103,0.004002441872420977,1.6245790623474279,-406.0411578140401
