model_name,k_params,bic,cv_risk,xpe,c_lambda
gamma_2p,2,-174410.1279568617,1.0662989116434815e-07,1.0,-174410.1279568617
lognormal_2p,2,-174090.4079786922,1.1397885918289094e-07,0.9355234113481465,-174090.4007731162
axdisp_2p,2,-173038.43288460304,1.20949180086299e-07,0.8816090451234656,-173038.41926176517
